feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
Ddx39,Group,0.0073,0.049,T4400,DESeq2,DMSO vs T4400,0.8378,-0.2553,Ddx39
Ddx39b,Group,0.0003,0.0065,T4400,DESeq2,DMSO vs T4400,0.781,-0.3566,Ddx39b
Ddx3x,Group,0.2464,0.4646,DMSO,DESeq2,DMSO vs T4400,1.1013,0.1392,Ddx3x
Ddx41,Group,0.3469,0.5674,T4400,DESeq2,DMSO vs T4400,0.9564,-0.0643,Ddx41
Ddx42,Group,0.4912,0.6891,DMSO,DESeq2,DMSO vs T4400,1.0282,0.0401,Ddx42
Ddx46,Group,0.2096,0.4223,DMSO,DESeq2,DMSO vs T4400,1.1257,0.1708,Ddx46
Ddx47,Group,0.0357,0.1382,T4400,DESeq2,DMSO vs T4400,0.9037,-0.1461,Ddx47
Ddx49,Group,0.0417,0.1526,T4400,DESeq2,DMSO vs T4400,0.8925,-0.164,Ddx49
Ddx5,Group,0.3344,0.5552,DMSO,DESeq2,DMSO vs T4400,1.0802,0.1113,Ddx5
Ddx50,Group,0.1698,0.3694,DMSO,DESeq2,DMSO vs T4400,1.0822,0.114,Ddx50
