feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
0610005C13Rik,Group,0.2283,0.4434,DMSO,DESeq2,DMSO vs T4400,1.6889,0.7561,0610005C13Rik
0610007P14Rik,Group,0.9514,0.977,T4400,DESeq2,DMSO vs T4400,0.9968,-0.0046,0610007P14Rik
0610009B22Rik,Group,0.4225,0.6334,DMSO,DESeq2,DMSO vs T4400,1.0412,0.0582,0610009B22Rik
0610009L18Rik,Group,0.1608,0.3565,DMSO,DESeq2,DMSO vs T4400,1.3404,0.4227,0610009L18Rik
0610009O20Rik,Group,0.1181,0.2943,T4400,DESeq2,DMSO vs T4400,0.9272,-0.1091,0610009O20Rik
0610010F05Rik,Group,0.2456,0.4638,DMSO,DESeq2,DMSO vs T4400,1.1302,0.1766,0610010F05Rik
0610010K14Rik,Group,0.2643,0.486,T4400,DESeq2,DMSO vs T4400,0.9443,-0.0827,0610010K14Rik
0610011F06Rik,Group,0.1074,0.277,T4400,DESeq2,DMSO vs T4400,0.895,-0.16,0610011F06Rik
0610012G03Rik,Group,0.6812,0.8226,DMSO,DESeq2,DMSO vs T4400,1.0284,0.0403,0610012G03Rik
0610030E20Rik,Group,0.9751,0.9874,DMSO,DESeq2,DMSO vs T4400,1.002,0.0029,0610030E20Rik
0610037L13Rik,Group,0.1099,0.2811,T4400,DESeq2,DMSO vs T4400,0.9091,-0.1375,0610037L13Rik
0610038B21Rik,Group,0.6145,0.7791,DMSO,DESeq2,DMSO vs T4400,1.1777,0.236,0610038B21Rik
0610040B10Rik,Group,0.9743,0.9872,T4400,DESeq2,DMSO vs T4400,0.9906,-0.0136,0610040B10Rik
0610040J01Rik,Group,0.1831,0.3875,DMSO,DESeq2,DMSO vs T4400,4.9512,2.3078,0610040J01Rik
1110001J03Rik,Group,0.0415,0.152,T4400,DESeq2,DMSO vs T4400,0.8165,-0.2925,1110001J03Rik
1110002L01Rik,Group,0.7203,0.8482,T4400,DESeq2,DMSO vs T4400,0.9543,-0.0675,1110002L01Rik
1110004E09Rik,Group,0.5486,0.7316,DMSO,DESeq2,DMSO vs T4400,1.0561,0.0788,1110004E09Rik
1110004F10Rik,Group,0.0604,0.1932,T4400,DESeq2,DMSO vs T4400,0.8871,-0.1728,1110004F10Rik
1110006O24Rik,Group,0.8719,0.939,DMSO,DESeq2,DMSO vs T4400,1.059,0.0827,1110006O24Rik
1110007C09Rik,Group,0.0245,0.1081,DMSO,DESeq2,DMSO vs T4400,1.1803,0.2392,1110007C09Rik
1110008F13Rik,Group,0.7504,0.8679,DMSO,DESeq2,DMSO vs T4400,1.0248,0.0353,1110008F13Rik
1110008L16Rik,Group,0.5528,0.7349,DMSO,DESeq2,DMSO vs T4400,1.0283,0.0403,1110008L16Rik
1110008P14Rik,Group,0.3867,0.603,DMSO,DESeq2,DMSO vs T4400,1.0635,0.0889,1110008P14Rik
1110012L19Rik,Group,0.5364,0.7229,DMSO,DESeq2,DMSO vs T4400,1.0604,0.0846,1110012L19Rik
1110019D14Rik,Group,0.7019,0.8357,DMSO,DESeq2,DMSO vs T4400,1.0602,0.0844,1110019D14Rik
1110020A21Rik,Group,0.5708,0.7485,DMSO,DESeq2,DMSO vs T4400,1.2105,0.2756,1110020A21Rik
1110032A03Rik,Group,0.6998,0.8344,T4400,DESeq2,DMSO vs T4400,0.9716,-0.0416,1110032A03Rik
1110034G24Rik,Group,0.0502,0.1726,DMSO,DESeq2,DMSO vs T4400,1.2011,0.2643,1110034G24Rik
1110037F02Rik,Group,0.7511,0.8682,DMSO,DESeq2,DMSO vs T4400,1.018,0.0258,1110037F02Rik
1110038B12Rik,Group,0.0279,0.1185,DMSO,DESeq2,DMSO vs T4400,1.19,0.2509,1110038B12Rik
1110038F14Rik,Group,0.4246,0.6352,T4400,DESeq2,DMSO vs T4400,0.9618,-0.0562,1110038F14Rik
1110046J04Rik,Group,0.6676,0.8137,T4400,DESeq2,DMSO vs T4400,0.96,-0.0589,1110046J04Rik
1110051M20Rik,Group,0.3385,0.5598,T4400,DESeq2,DMSO vs T4400,0.9564,-0.0642,1110051M20Rik
1110059E24Rik,Group,0.1226,0.3012,T4400,DESeq2,DMSO vs T4400,0.9068,-0.1411,1110059E24Rik
1110059G10Rik,Group,0.2343,0.4509,DMSO,DESeq2,DMSO vs T4400,1.1035,0.142,1110059G10Rik
1110065P20Rik,Group,0.0732,0.2174,T4400,DESeq2,DMSO vs T4400,0.8556,-0.225,1110065P20Rik
1190002F15Rik,Group,0.0008,0.0118,T4400,DESeq2,DMSO vs T4400,0.6015,-0.7334,1190002F15Rik
1190002N15Rik,Group,0.901,0.9527,T4400,DESeq2,DMSO vs T4400,0.9876,-0.0181,1190002N15Rik
1190005I06Rik,Group,0.4455,0.6517,T4400,DESeq2,DMSO vs T4400,0.6538,-0.6131,1190005I06Rik
1190007I07Rik,Group,0.8333,0.9161,DMSO,DESeq2,DMSO vs T4400,1.0294,0.0418,1190007I07Rik
1200014J11Rik,Group,0.849,0.9254,T4400,DESeq2,DMSO vs T4400,0.9904,-0.0139,1200014J11Rik
1300002E11Rik,Group,0.002,0.0216,DMSO,DESeq2,DMSO vs T4400,1.3317,0.4133,1300002E11Rik
1500004A13Rik,Group,0.764,0.8754,DMSO,DESeq2,DMSO vs T4400,1.039,0.0552,1500004A13Rik
1500009L16Rik,Group,0.0911,0.2503,T4400,DESeq2,DMSO vs T4400,0.6511,-0.619,1500009L16Rik
1500011B03Rik,Group,0.1372,0.3229,DMSO,DESeq2,DMSO vs T4400,1.2128,0.2784,1500011B03Rik
1500011K16Rik,Group,0.9727,0.9861,T4400,DESeq2,DMSO vs T4400,0.9968,-0.0046,1500011K16Rik
1500012F01Rik,Group,0.1766,0.379,DMSO,DESeq2,DMSO vs T4400,1.1255,0.1706,1500012F01Rik
1500015A07Rik,Group,0.5517,0.7339,DMSO,DESeq2,DMSO vs T4400,1.207,0.2714,1500015A07Rik
1500015O10Rik,Group,0.0075,0.0496,T4400,DESeq2,DMSO vs T4400,0.3929,-1.3477,1500015O10Rik
1500017E21Rik,Group,0.064,0.2007,DMSO,DESeq2,DMSO vs T4400,1.3489,0.4318,1500017E21Rik
1600002H07Rik,Group,0.3639,0.5825,T4400,DESeq2,DMSO vs T4400,0.9359,-0.0956,1600002H07Rik
1600002K03Rik,Group,0.3426,0.564,DMSO,DESeq2,DMSO vs T4400,1.0917,0.1265,1600002K03Rik
1600012H06Rik,Group,0.1498,0.3411,DMSO,DESeq2,DMSO vs T4400,1.0678,0.0946,1600012H06Rik
1600014C10Rik,Group,0.2168,0.4307,DMSO,DESeq2,DMSO vs T4400,1.1037,0.1424,1600014C10Rik
1600020E01Rik,Group,0.8359,0.918,DMSO,DESeq2,DMSO vs T4400,1.0247,0.0352,1600020E01Rik
1600027J07Rik,Group,0.0012,0.0159,T4400,DESeq2,DMSO vs T4400,0.1959,-2.3517,1600027J07Rik
1700001G11Rik,Group,0.5696,0.7482,DMSO,DESeq2,DMSO vs T4400,1.338,0.4201,1700001G11Rik
1700001G17Rik,Group,0.8231,0.9109,DMSO,DESeq2,DMSO vs T4400,1.1043,0.1431,1700001G17Rik
1700001K19Rik,Group,0.3085,0.5301,T4400,DESeq2,DMSO vs T4400,0.5874,-0.7675,1700001K19Rik
1700001L05Rik,Group,0,0.0021,DMSO,DESeq2,DMSO vs T4400,1.8865,0.9157,1700001L05Rik
1700001L19Rik,Group,0.2474,0.4659,T4400,DESeq2,DMSO vs T4400,0.5902,-0.7608,1700001L19Rik
1700001O22Rik,Group,0.2669,0.4887,DMSO,DESeq2,DMSO vs T4400,1.4252,0.5112,1700001O22Rik
1700003E16Rik,Group,0.4447,0.6514,DMSO,DESeq2,DMSO vs T4400,1.0951,0.1311,1700003E16Rik
1700003F12Rik,Group,0.0285,0.1194,DMSO,DESeq2,DMSO vs T4400,1.538,0.621,1700003F12Rik
1700007J10Rik,Group,0.6523,0.8055,T4400,DESeq2,DMSO vs T4400,0.8819,-0.1813,1700007J10Rik
1700007K13Rik,Group,0.5736,0.7505,DMSO,DESeq2,DMSO vs T4400,1.187,0.2473,1700007K13Rik
1700007L15Rik,Group,0.3109,0.5323,T4400,DESeq2,DMSO vs T4400,0.8471,-0.2394,1700007L15Rik
1700008J07Rik,Group,0.6501,0.8041,T4400,DESeq2,DMSO vs T4400,0.8888,-0.17,1700008J07Rik
1700009N14Rik,Group,0.6742,0.8179,DMSO,DESeq2,DMSO vs T4400,1.2341,0.3035,1700009N14Rik
1700011I03Rik,Group,0.9633,0.9821,T4400,DESeq2,DMSO vs T4400,0.9769,-0.0338,1700011I03Rik
1700012B09Rik,Group,0.2469,0.4652,DMSO,DESeq2,DMSO vs T4400,1.2663,0.3406,1700012B09Rik
1700012D01Rik,Group,0.415,0.6275,DMSO,DESeq2,DMSO vs T4400,1.2042,0.268,1700012D01Rik
1700012D14Rik,Group,0.4524,0.6581,DMSO,DESeq2,DMSO vs T4400,1.426,0.5119,1700012D14Rik
1700013G24Rik,Group,0.0485,0.1688,T4400,DESeq2,DMSO vs T4400,0.4492,-1.1546,1700013G24Rik
1700017B05Rik,Group,0.2367,0.4537,DMSO,DESeq2,DMSO vs T4400,1.0682,0.0951,1700017B05Rik
1700018A04Rik,Group,0.461,0.6653,DMSO,DESeq2,DMSO vs T4400,1.2738,0.3491,1700018A04Rik
1700019G17Rik,Group,0.4389,0.6465,DMSO,DESeq2,DMSO vs T4400,1.2375,0.3074,1700019G17Rik
1700019L03Rik,Group,0.0269,0.1153,DMSO,DESeq2,DMSO vs T4400,1.4811,0.5667,1700019L03Rik
1700020I14Rik,Group,0.4841,0.6828,T4400,DESeq2,DMSO vs T4400,0.9487,-0.076,1700020I14Rik
1700020L24Rik,Group,0.1643,0.3617,DMSO,DESeq2,DMSO vs T4400,1.186,0.2461,1700020L24Rik
1700021F05Rik,Group,0.1768,0.379,T4400,DESeq2,DMSO vs T4400,0.9181,-0.1232,1700021F05Rik
1700021K19Rik,Group,0.1937,0.4016,T4400,DESeq2,DMSO vs T4400,0.9583,-0.0615,1700021K19Rik
1700024P16Rik,Group,0.6886,0.827,DMSO,DESeq2,DMSO vs T4400,1.0733,0.102,1700024P16Rik
1700025G04Rik,Group,0.148,0.3388,T4400,DESeq2,DMSO vs T4400,0.8675,-0.2051,1700025G04Rik
1700026D08Rik,Group,0.0004,0.0082,DMSO,DESeq2,DMSO vs T4400,2.3738,1.2472,1700026D08Rik
1700026L06Rik,Group,0.4463,0.6525,DMSO,DESeq2,DMSO vs T4400,1.4582,0.5442,1700026L06Rik
1700028E10Rik,Group,0.9085,0.9563,DMSO,DESeq2,DMSO vs T4400,1.0684,0.0954,1700028E10Rik
1700028I16Rik,Group,0.4045,0.6188,T4400,DESeq2,DMSO vs T4400,0.6815,-0.5532,1700028I16Rik
1700028J19Rik,Group,0.9839,0.9915,DMSO,DESeq2,DMSO vs T4400,1.0045,0.0065,1700028J19Rik
1700028K03Rik,Group,0.0551,0.1827,DMSO,DESeq2,DMSO vs T4400,2.0682,1.0484,1700028K03Rik
1700029I15Rik,Group,0.8631,0.9348,T4400,DESeq2,DMSO vs T4400,0.948,-0.077,1700029I15Rik
1700029J03Rik,Group,0.0433,0.1566,T4400,DESeq2,DMSO vs T4400,0.5219,-0.938,1700029J03Rik
1700029J07Rik,Group,0.4647,0.6678,DMSO,DESeq2,DMSO vs T4400,1.1718,0.2287,1700029J07Rik
1700030J22Rik,Group,0.5215,0.7131,DMSO,DESeq2,DMSO vs T4400,1.0746,0.1037,1700030J22Rik
1700030K09Rik,Group,0.8646,0.9352,DMSO,DESeq2,DMSO vs T4400,1.0114,0.0163,1700030K09Rik
1700031A10Rik,Group,0.9737,0.9868,T4400,DESeq2,DMSO vs T4400,0.9888,-0.0162,1700031A10Rik
1700037C18Rik,Group,0.1246,0.3045,T4400,DESeq2,DMSO vs T4400,0.8228,-0.2815,1700037C18Rik
1700037H04Rik,Group,0.1166,0.2921,DMSO,DESeq2,DMSO vs T4400,1.1103,0.1509,1700037H04Rik
1700048M11Rik,Group,0.7613,0.8743,T4400,DESeq2,DMSO vs T4400,0.9144,-0.1292,1700048M11Rik
1700049G17Rik,Group,0.191,0.3981,DMSO,DESeq2,DMSO vs T4400,1.1159,0.1582,1700049G17Rik
1700052K11Rik,Group,0.4476,0.6537,T4400,DESeq2,DMSO vs T4400,0.9421,-0.086,1700052K11Rik
1700056E22Rik,Group,0.3883,0.6043,DMSO,DESeq2,DMSO vs T4400,1.2504,0.3224,1700056E22Rik
1700061G19Rik,Group,0.7871,0.8904,T4400,DESeq2,DMSO vs T4400,0.9148,-0.1285,1700061G19Rik
1700065J18Rik,Group,0.4375,0.6456,T4400,DESeq2,DMSO vs T4400,0.7915,-0.3373,1700065J18Rik
1700066M21Rik,Group,0.8909,0.948,T4400,DESeq2,DMSO vs T4400,0.9872,-0.0186,1700066M21Rik
1700067K01Rik,Group,0.8269,0.9134,DMSO,DESeq2,DMSO vs T4400,1.0806,0.1119,1700067K01Rik
1700086O06Rik,Group,0.8449,0.9227,DMSO,DESeq2,DMSO vs T4400,1.0599,0.0839,1700086O06Rik
1700088E04Rik,Group,0.5748,0.7517,DMSO,DESeq2,DMSO vs T4400,1.1088,0.149,1700088E04Rik
1700093K21Rik,Group,0.6032,0.772,DMSO,DESeq2,DMSO vs T4400,1.0981,0.1351,1700093K21Rik
1700094D03Rik,Group,0.0158,0.0815,DMSO,DESeq2,DMSO vs T4400,1.3363,0.4183,1700094D03Rik
1700096K18Rik,Group,0.0062,0.0442,DMSO,DESeq2,DMSO vs T4400,1.6809,0.7492,1700096K18Rik
1700101I11Rik,Group,0.7454,0.865,T4400,DESeq2,DMSO vs T4400,0.899,-0.1537,1700101I11Rik
1700102P08Rik,Group,0.0443,0.1589,T4400,DESeq2,DMSO vs T4400,0.5992,-0.7389,1700102P08Rik
1700108F19Rik,Group,0.6994,0.8341,DMSO,DESeq2,DMSO vs T4400,1.1628,0.2177,1700108F19Rik
1700109H08Rik,Group,0.9303,0.9665,DMSO,DESeq2,DMSO vs T4400,1.0265,0.0377,1700109H08Rik
1700109K24Rik,Group,0.531,0.7193,T4400,DESeq2,DMSO vs T4400,0.9038,-0.146,1700109K24Rik
1700112E06Rik,Group,0.99,0.9952,T4400,DESeq2,DMSO vs T4400,0.998,-0.0029,1700112E06Rik
1700113A16Rik,Group,0.5634,0.7423,T4400,DESeq2,DMSO vs T4400,0.957,-0.0633,1700113A16Rik
1700120C14Rik,Group,0.8575,0.9308,T4400,DESeq2,DMSO vs T4400,0.9131,-0.1311,1700120C14Rik
1700120K04Rik,Group,0.2536,0.4736,T4400,DESeq2,DMSO vs T4400,0.7351,-0.4441,1700120K04Rik
1700123M08Rik,Group,0.8466,0.9236,T4400,DESeq2,DMSO vs T4400,0.9668,-0.0488,1700123M08Rik
1700123O20Rik,Group,0.5962,0.7672,T4400,DESeq2,DMSO vs T4400,0.9629,-0.0545,1700123O20Rik
1810010H24Rik,Group,0.4767,0.6772,DMSO,DESeq2,DMSO vs T4400,1.1443,0.1945,1810010H24Rik
1810011O10Rik,Group,0.4279,0.6376,DMSO,DESeq2,DMSO vs T4400,1.0853,0.1181,1810011O10Rik
1810013L24Rik,Group,0.962,0.9812,DMSO,DESeq2,DMSO vs T4400,1.0023,0.0033,1810013L24Rik
1810014B01Rik,Group,0.9391,0.9712,DMSO,DESeq2,DMSO vs T4400,1.0083,0.0119,1810014B01Rik
1810021B22Rik,Group,0.6017,0.7711,DMSO,DESeq2,DMSO vs T4400,1.085,0.1178,1810021B22Rik
1810022K09Rik,Group,0.6418,0.799,DMSO,DESeq2,DMSO vs T4400,1.0279,0.0396,1810022K09Rik
1810024B03Rik,Group,0.5022,0.6983,DMSO,DESeq2,DMSO vs T4400,1.242,0.3126,1810024B03Rik
1810026B05Rik,Group,0.4776,0.6778,DMSO,DESeq2,DMSO vs T4400,1.051,0.0718,1810026B05Rik
1810026J23Rik,Group,0.4052,0.6195,T4400,DESeq2,DMSO vs T4400,0.9537,-0.0683,1810026J23Rik
1810030O07Rik,Group,0.0245,0.1081,DMSO,DESeq2,DMSO vs T4400,1.1035,0.1421,1810030O07Rik
1810032O08Rik,Group,0.8249,0.9121,DMSO,DESeq2,DMSO vs T4400,1.021,0.03,1810032O08Rik
1810034E14Rik,Group,0.0015,0.0184,DMSO,DESeq2,DMSO vs T4400,1.4243,0.5102,1810034E14Rik
1810037I17Rik,Group,0.7632,0.875,T4400,DESeq2,DMSO vs T4400,0.9874,-0.0183,1810037I17Rik
1810041L15Rik,Group,0.0072,0.0487,T4400,DESeq2,DMSO vs T4400,0.5329,-0.9079,1810041L15Rik
1810043G02Rik,Group,0.6771,0.8198,DMSO,DESeq2,DMSO vs T4400,1.0234,0.0334,1810043G02Rik
1810043H04Rik,Group,0.8559,0.9298,DMSO,DESeq2,DMSO vs T4400,1.0147,0.021,1810043H04Rik
1810044D09Rik,Group,0.3773,0.5946,T4400,DESeq2,DMSO vs T4400,0.7889,-0.3421,1810044D09Rik
1810055G02Rik,Group,0.0335,0.132,T4400,DESeq2,DMSO vs T4400,0.8914,-0.1659,1810055G02Rik
1810058I24Rik,Group,0.0276,0.1176,DMSO,DESeq2,DMSO vs T4400,1.191,0.2521,1810058I24Rik
1810062G17Rik,Group,0.4222,0.6332,T4400,DESeq2,DMSO vs T4400,0.8289,-0.2708,1810062G17Rik
1810062O18Rik,Group,0.687,0.8259,DMSO,DESeq2,DMSO vs T4400,1.1966,0.259,1810062O18Rik
2010001A14Rik,Group,0.1109,0.2828,DMSO,DESeq2,DMSO vs T4400,1.256,0.3289,2010001A14Rik
2010012O05Rik,Group,0.1681,0.3672,DMSO,DESeq2,DMSO vs T4400,1.0705,0.0983,2010012O05Rik
2010107E04Rik,Group,0.0077,0.0506,T4400,DESeq2,DMSO vs T4400,0.8667,-0.2065,2010107E04Rik
2010107G12Rik,Group,0.0952,0.2571,DMSO,DESeq2,DMSO vs T4400,2.1711,1.1184,2010107G12Rik
2010107G23Rik,Group,0.0208,0.0973,DMSO,DESeq2,DMSO vs T4400,1.3008,0.3794,2010107G23Rik
2010111I01Rik,Group,0.7798,0.8865,DMSO,DESeq2,DMSO vs T4400,1.0222,0.0317,2010111I01Rik
2010204K13Rik,Group,0.3086,0.5301,T4400,DESeq2,DMSO vs T4400,0.8523,-0.2306,2010204K13Rik
2010315B03Rik,Group,0.1478,0.3386,DMSO,DESeq2,DMSO vs T4400,1.2322,0.3012,2010315B03Rik
2010320M18Rik,Group,0.0583,0.189,DMSO,DESeq2,DMSO vs T4400,1.2339,0.3033,2010320M18Rik
2200002D01Rik,Group,0.1463,0.3361,T4400,DESeq2,DMSO vs T4400,0.8521,-0.2309,2200002D01Rik
2210010C04Rik,Group,0.0529,0.1783,DMSO,DESeq2,DMSO vs T4400,1.6255,0.7009,2210010C04Rik
2210011C24Rik,Group,0.608,0.7749,T4400,DESeq2,DMSO vs T4400,0.9238,-0.1143,2210011C24Rik
2210013O21Rik,Group,0.014,0.0751,T4400,DESeq2,DMSO vs T4400,0.8459,-0.2414,2210013O21Rik
2210015D19Rik,Group,0.3609,0.5794,T4400,DESeq2,DMSO vs T4400,0.9348,-0.0973,2210015D19Rik
2210016F16Rik,Group,0.4464,0.6526,T4400,DESeq2,DMSO vs T4400,0.9266,-0.11,2210016F16Rik
2210016L21Rik,Group,0.9372,0.9699,DMSO,DESeq2,DMSO vs T4400,1.0047,0.0068,2210016L21Rik
2210018M11Rik,Group,0.5288,0.7178,DMSO,DESeq2,DMSO vs T4400,1.073,0.1017,2210018M11Rik
2210404O09Rik,Group,0.0083,0.0534,DMSO,DESeq2,DMSO vs T4400,1.5554,0.6373,2210404O09Rik
2210408F21Rik,Group,0.0253,0.1106,DMSO,DESeq2,DMSO vs T4400,1.4376,0.5237,2210408F21Rik
2210408I21Rik,Group,0.9238,0.9639,T4400,DESeq2,DMSO vs T4400,0.9905,-0.0138,2210408I21Rik
2210409D07Rik,Group,0.4827,0.6818,T4400,DESeq2,DMSO vs T4400,0.7382,-0.4378,2210409D07Rik
2210416O15Rik,Group,0.4353,0.6441,T4400,DESeq2,DMSO vs T4400,0.7844,-0.3504,2210416O15Rik
2300009A05Rik,Group,0.2935,0.5148,DMSO,DESeq2,DMSO vs T4400,1.1371,0.1853,2300009A05Rik
2310001H17Rik,Group,0.7644,0.8757,DMSO,DESeq2,DMSO vs T4400,1.0421,0.0594,2310001H17Rik
2310002F09Rik,Group,0.0391,0.1464,DMSO,DESeq2,DMSO vs T4400,2.0588,1.0418,2310002F09Rik
2310002L09Rik,Group,0.9876,0.9936,T4400,DESeq2,DMSO vs T4400,0.9954,-0.0066,2310002L09Rik
2310009A05Rik,Group,0.1691,0.3685,DMSO,DESeq2,DMSO vs T4400,1.1291,0.1752,2310009A05Rik
2310009B15Rik,Group,0.2698,0.4914,T4400,DESeq2,DMSO vs T4400,0.926,-0.1109,2310009B15Rik
2310010G23Rik,Group,0.2261,0.4413,T4400,DESeq2,DMSO vs T4400,0.805,-0.3129,2310010G23Rik
2310010J17Rik,Group,0.7395,0.8612,DMSO,DESeq2,DMSO vs T4400,1.0711,0.0991,2310010J17Rik
2310011J03Rik,Group,0.7313,0.8552,T4400,DESeq2,DMSO vs T4400,0.9813,-0.0272,2310011J03Rik
2310015A10Rik,Group,0.776,0.8836,T4400,DESeq2,DMSO vs T4400,0.9723,-0.0405,2310015A10Rik
2310020H05Rik,Group,0.8584,0.9311,T4400,DESeq2,DMSO vs T4400,0.9512,-0.0721,2310020H05Rik
2310022A10Rik,Group,0.0117,0.0667,T4400,DESeq2,DMSO vs T4400,0.8732,-0.1955,2310022A10Rik
2310022B05Rik,Group,0.3283,0.5491,T4400,DESeq2,DMSO vs T4400,0.9475,-0.0778,2310022B05Rik
2310030G06Rik,Group,0.9664,0.9834,T4400,DESeq2,DMSO vs T4400,0.9958,-0.006,2310030G06Rik
2310033P09Rik,Group,0.0003,0.007,T4400,DESeq2,DMSO vs T4400,0.7681,-0.3806,2310033P09Rik
2310034G01Rik,Group,0.496,0.6933,DMSO,DESeq2,DMSO vs T4400,1.2814,0.3577,2310034G01Rik
2310035C23Rik,Group,0.0617,0.1961,DMSO,DESeq2,DMSO vs T4400,1.094,0.1296,2310035C23Rik
2310036O22Rik,Group,0.362,0.5808,T4400,DESeq2,DMSO vs T4400,0.9513,-0.072,2310036O22Rik
2310039H08Rik,Group,0.1631,0.3598,DMSO,DESeq2,DMSO vs T4400,1.1611,0.2154,2310039H08Rik
2310039L15Rik,Group,0.4951,0.6928,T4400,DESeq2,DMSO vs T4400,0.7528,-0.4097,2310039L15Rik
2310040G24Rik,Group,0.4403,0.6479,T4400,DESeq2,DMSO vs T4400,0.6786,-0.5593,2310040G24Rik
2310043L19Rik,Group,0.006,0.043,T4400,DESeq2,DMSO vs T4400,0.6223,-0.6843,2310043L19Rik
2310045N01Rik,Group,0.6462,0.8018,DMSO,DESeq2,DMSO vs T4400,1.0439,0.062,2310045N01Rik
2310047M10Rik,Group,0.5243,0.715,T4400,DESeq2,DMSO vs T4400,0.9545,-0.0672,2310047M10Rik
2310057M21Rik,Group,0.3801,0.5968,T4400,DESeq2,DMSO vs T4400,0.9457,-0.0806,2310057M21Rik
2310061I04Rik,Group,0.1021,0.2686,T4400,DESeq2,DMSO vs T4400,0.9015,-0.1496,2310061I04Rik
2310065F04Rik,Group,0.0437,0.1575,T4400,DESeq2,DMSO vs T4400,0.5878,-0.7666,2310065F04Rik
2310067B10Rik,Group,0.4855,0.6842,DMSO,DESeq2,DMSO vs T4400,1.0404,0.0571,2310067B10Rik
2410002F23Rik,Group,0.0454,0.1614,T4400,DESeq2,DMSO vs T4400,0.8844,-0.1771,2410002F23Rik
2410004B18Rik,Group,0.0752,0.2217,T4400,DESeq2,DMSO vs T4400,0.9043,-0.1451,2410004B18Rik
2410006H16Rik,Group,0.0649,0.2024,DMSO,DESeq2,DMSO vs T4400,1.2018,0.2652,2410006H16Rik
2410012E07Rik,Group,0.1505,0.3419,DMSO,DESeq2,DMSO vs T4400,1.4519,0.538,2410012E07Rik
2410015M20Rik,Group,0.1695,0.369,T4400,DESeq2,DMSO vs T4400,0.9136,-0.1304,2410015M20Rik
2410016O06Rik,Group,0.1978,0.4069,T4400,DESeq2,DMSO vs T4400,0.9272,-0.109,2410016O06Rik
2410089E03Rik,Group,0.0483,0.1683,DMSO,DESeq2,DMSO vs T4400,1.2127,0.2782,2410089E03Rik
2410127L17Rik,Group,0.9237,0.9639,T4400,DESeq2,DMSO vs T4400,0.993,-0.0101,2410127L17Rik
2410131K14Rik,Group,0.4497,0.6556,DMSO,DESeq2,DMSO vs T4400,1.0504,0.071,2410131K14Rik
2500002B13Rik,Group,0.0225,0.1025,DMSO,DESeq2,DMSO vs T4400,1.2835,0.3601,2500002B13Rik
2500004C02Rik,Group,0.1119,0.2843,T4400,DESeq2,DMSO vs T4400,0.77,-0.3771,2500004C02Rik
2510002D24Rik,Group,0.1216,0.2998,T4400,DESeq2,DMSO vs T4400,0.8735,-0.195,2510002D24Rik
2510009E07Rik,Group,0.7759,0.8836,DMSO,DESeq2,DMSO vs T4400,1.0245,0.035,2510009E07Rik
2510039O18Rik,Group,0.118,0.2942,DMSO,DESeq2,DMSO vs T4400,1.0779,0.1083,2510039O18Rik
2610001J05Rik,Group,0.3356,0.5563,T4400,DESeq2,DMSO vs T4400,0.9433,-0.0843,2610001J05Rik
2610002M06Rik,Group,0.4797,0.6795,DMSO,DESeq2,DMSO vs T4400,1.0683,0.0954,2610002M06Rik
2610005L07Rik,Group,0.7012,0.8352,T4400,DESeq2,DMSO vs T4400,0.944,-0.0831,2610005L07Rik
2610008E11Rik,Group,0.3753,0.5931,T4400,DESeq2,DMSO vs T4400,0.909,-0.1376,2610008E11Rik
2610015P09Rik,Group,0.058,0.1886,DMSO,DESeq2,DMSO vs T4400,1.324,0.4049,2610015P09Rik
2610020C07Rik,Group,0.5206,0.7124,DMSO,DESeq2,DMSO vs T4400,1.1933,0.255,2610020C07Rik
2610020H08Rik,Group,0.4249,0.6354,T4400,DESeq2,DMSO vs T4400,0.9105,-0.1352,2610020H08Rik
2610035D17Rik,Group,0.197,0.4057,T4400,DESeq2,DMSO vs T4400,0.745,-0.4246,2610035D17Rik
2610044O15Rik8,Group,0.4613,0.6656,DMSO,DESeq2,DMSO vs T4400,1.0558,0.0783,2610044O15Rik8
2610203C22Rik,Group,0.3755,0.5932,T4400,DESeq2,DMSO vs T4400,0.6776,-0.5615,2610203C22Rik
2610206C17Rik,Group,0.9919,0.9958,T4400,DESeq2,DMSO vs T4400,0.9963,-0.0053,2610206C17Rik
2610301B20Rik,Group,0.9781,0.989,T4400,DESeq2,DMSO vs T4400,0.9987,-0.0019,2610301B20Rik
2610306M01Rik,Group,0.7482,0.867,T4400,DESeq2,DMSO vs T4400,0.9633,-0.054,2610306M01Rik
2610307P16Rik,Group,0.7019,0.8357,DMSO,DESeq2,DMSO vs T4400,1.062,0.0867,2610307P16Rik
2610316D01Rik,Group,0.1783,0.3814,DMSO,DESeq2,DMSO vs T4400,1.436,0.5221,2610316D01Rik
2610318N02Rik,Group,0.2512,0.4709,T4400,DESeq2,DMSO vs T4400,0.8151,-0.2949,2610318N02Rik
2610507B11Rik,Group,0.6551,0.8067,DMSO,DESeq2,DMSO vs T4400,1.0145,0.0207,2610507B11Rik
2610507I01Rik,Group,0.8556,0.9296,T4400,DESeq2,DMSO vs T4400,0.9103,-0.1356,2610507I01Rik
2610524H06Rik,Group,0.3961,0.6116,DMSO,DESeq2,DMSO vs T4400,1.0846,0.1172,2610524H06Rik
